trp_multiplayer_profile_troop_male|multiplayer profile troop male{***}
trp_gekokujo_hojo_mounted_officer_pl|广 岛  骑 马 书 院 番  
trp_gekokujo_hojo_master_gunner|广 岛  精 锐 铁 炮 众  
trp_gekokujo_hojo_master_gunner_pl|广 岛  精 锐 铁 炮 众  
trp_gekokujo_hojo_master_archer|广 岛 捷 机 队 
trp_gekokujo_hojo_master_archer_pl|广 岛 捷 机 队 
trp_gekokujo_hojo_hatamoto_cavalry|广 岛  母 衣 众 
trp_gekokujo_hojo_hatamoto_cavalry_pl|广 岛  母 衣 众 
trp_gekokujo_hojo_hatamoto_archer|广 岛 神 机 队 
trp_gekokujo_hojo_hatamoto_archer_pl|广 岛 神 机 队 
trp_gekokujo_hojo_messenger|广 岛  信 使
trp_gekokujo_hojo_messenger_pl|广 岛  信 使
trp_gekokujo_hojo_deserter|广 岛  逃 兵
trp_gekokujo_hojo_deserter_pl|广 岛  逃 兵
trp_gekokujo_hojo_prison_guard|广 岛  监 狱 守 卫
trp_gekokujo_hojo_prison_guard_pl|广 岛  监 狱 守 卫
trp_gekokujo_hojo_castle_guard|广 岛  城 堡 卫 队
trp_gekokujo_hojo_castle_guard_pl|广 岛  城 堡 卫 队
trp_gekokujo_mogami_jizamurai|米 泽 藩 士
trp_gekokujo_mogami_jizamurai_pl|米 泽 藩 士
trp_gekokujo_mogami_retainer|米 泽 濟 民 队
trp_gekokujo_mogami_retainer_pl|米 泽 濟 民 队
trp_gekokujo_mogami_marksman|米 泽 持 铳 众
trp_gekokujo_mogami_marksman_pl|米 泽 持 铳 众 
trp_gekokujo_mogami_veteran_retainer|米 泽 小 姓 番 
trp_gekokujo_mogami_veteran_retainer_pl|米 泽 小 姓 番 
trp_gekokujo_mogami_mounted_retainer|米 泽 马 回 众  
trp_gekokujo_mogami_mounted_retainer_pl|米 泽 马 回 众  
trp_gekokujo_mogami_samurai_gunner|米 泽 铁 炮 众  
trp_gekokujo_mogami_samurai_gunner_pl|米 泽 铁 炮 众  
trp_gekokujo_mogami_samurai_archer|米 泽 资 深 持 弓 众 
trp_gekokujo_mogami_samurai_archer_pl|米 泽 资 深 持 弓 众 
trp_gekokujo_mogami_officer|米 泽 书 院 番  
trp_gekokujo_mogami_officer_pl|米 泽 书 院 番  
trp_gekokujo_mogami_mounted_officer|米 泽 骑 马 书 院 番  
trp_gekokujo_mogami_mounted_officer_pl|米 泽 骑 马 书 院 番  
trp_gekokujo_mogami_master_gunner|米 泽 西 式 新 军 
trp_gekokujo_mogami_master_gunner_pl|米 泽 西 式 新 军 
trp_gekokujo_mogami_master_archer|米 泽 散 兵 队 
trp_gekokujo_mogami_master_archer_pl|米 泽 散 兵 队 
trp_gekokujo_mogami_hatamoto_cavalry|米 泽 五 十 騎 组
trp_gekokujo_mogami_hatamoto_cavalry_pl|米 泽 五 十 騎 组
trp_gekokujo_mogami_hatamoto_gunner|米 泽 新 铳 队
trp_gekokujo_mogami_hatamoto_gunner_pl|米 泽 新 铳 队
trp_gekokujo_mogami_messenger|米 泽 信 使
trp_gekokujo_mogami_messenger_pl|米 泽 信 使
trp_gekokujo_mogami_deserter|米 泽 逃 兵
trp_gekokujo_mogami_deserter_pl|米 泽 逃 兵
trp_gekokujo_mogami_prison_guard|米 泽 监 狱 守 卫
trp_gekokujo_mogami_prison_guard_pl|米 泽 监 狱 守 卫
trp_gekokujo_mogami_castle_guard|米 泽 城 堡 卫 队
trp_gekokujo_mogami_castle_guard_pl|米 泽 城 堡 卫 队
trp_gekokujo_shimazu_jizamurai|萨 摩 藩 藩 士 
trp_gekokujo_shimazu_jizamurai_pl|萨 摩 藩 藩 士 
trp_gekokujo_shimazu_retainer|萨 摩 示 显 流 徒 士 番 
trp_gekokujo_shimazu_retainer_pl|萨 摩 示 显 流 徒 士 番 
trp_gekokujo_shimazu_marksman|萨 摩 城 下 铳 队 
trp_gekokujo_shimazu_marksman_pl|萨 摩 城 下 铳 队 
trp_gekokujo_shimazu_veteran_retainer|萨 摩 小 姓 番 
trp_gekokujo_shimazu_veteran_retainer_pl|萨 摩 小 姓 番 
trp_gekokujo_shimazu_mounted_retainer|岛 津 马 回 众  
trp_gekokujo_shimazu_mounted_retainer_pl|岛 津 马 回 众  
trp_gekokujo_shimazu_samurai_gunner|萨 摩 精 锐 步 兵 
trp_gekokujo_shimazu_samurai_gunner_pl|萨 摩 精 锐 步 兵 
trp_gekokujo_shimazu_samurai_archer|岛 津 资 深 持 弓 众 
trp_gekokujo_shimazu_samurai_archer_pl|岛 津 资 深 持 弓 众 
trp_gekokujo_shimazu_officer|萨 摩 示 显 流 剑 豪 
trp_gekokujo_shimazu_officer_pl|萨 摩 示 显 流 剑 豪 
trp_gekokujo_shimazu_mounted_officer|岛 津 骑 马 书 院番  
trp_gekokujo_shimazu_mounted_officer_pl|岛 津 骑 马 书 院番  
trp_gekokujo_shimazu_master_gunner|萨 摩 神 枪 队 
trp_gekokujo_shimazu_master_gunner_pl|萨 摩 神 枪 队 
trp_gekokujo_shimazu_master_archer|岛 津 精 锐 持 弓 众 
trp_gekokujo_shimazu_master_archer_pl|岛 津 精 锐 持 弓 众 
trp_gekokujo_shimazu_hatamoto_guard|萨 摩 黑 熊 军 官
trp_gekokujo_shimazu_hatamoto_guard_pl|萨 摩 黑 熊 军 官
trp_gekokujo_shimazu_hatamoto_gunner|萨 摩 卡 宾 枪 兵 队
trp_gekokujo_shimazu_hatamoto_gunner_pl|萨 摩 卡 宾 枪 兵 队
trp_gekokujo_shimazu_messenger|岛 津 信 使
trp_gekokujo_shimazu_messenger_pl|岛 津 信 使
trp_gekokujo_shimazu_deserter|岛 津 逃 兵
trp_gekokujo_shimazu_deserter_pl|岛 津 逃 兵
trp_gekokujo_shimazu_prison_guard|岛 津 监 狱 守 卫
trp_gekokujo_shimazu_prison_guard_pl|岛 津 监 狱 守 卫
trp_gekokujo_shimazu_castle_guard|岛 津 城 堡 卫 队
trp_gekokujo_shimazu_castle_guard_pl|岛 津 城 堡 卫 队
trp_gekokujo_ryuzoji_jizamurai|佐 贺 藩 士 
trp_gekokujo_ryuzoji_jizamurai_pl|佐 贺 藩 士 
trp_gekokujo_ryuzoji_retainer|佐 贺 徒 士 番 
trp_gekokujo_ryuzoji_retainer_pl|佐 贺 徒 士 番 
trp_gekokujo_ryuzoji_marksman|佐 贺 铁 炮 徒 士 
trp_gekokujo_ryuzoji_marksman_pl|佐 贺 铁 炮 徒 士 
trp_gekokujo_ryuzoji_veteran_retainer|佐 贺 小 姓 番 
trp_gekokujo_ryuzoji_veteran_retainer_pl|佐 贺 小 姓 番 
trp_gekokujo_ryuzoji_mounted_retainer|佐 贺 马 回 众  
trp_gekokujo_ryuzoji_mounted_retainer_pl|佐 贺 马 回 众  
trp_gekokujo_ryuzoji_samurai_gunner|佐 贺 铁 炮 众  
trp_gekokujo_ryuzoji_samurai_gunner_pl|佐 贺 铁 炮 众  
trp_gekokujo_ryuzoji_samurai_archer|佐 贺 资 深 持 弓 众 
trp_gekokujo_ryuzoji_samurai_archer_pl|龙 造 资 深 持 弓 众 
trp_gekokujo_ryuzoji_officer|佐 贺 书 院番  
trp_gekokujo_ryuzoji_officer_pl|佐 贺 书 院番  
trp_gekokujo_ryuzoji_mounted_officer|佐 贺 配 枪 骑 马 队
trp_gekokujo_ryuzoji_mounted_officer_pl|佐 贺 配 枪 骑 马 队
trp_gekokujo_ryuzoji_master_gunner|佐 贺 游 兵 队 
trp_gekokujo_ryuzoji_master_gunner_pl|佐 贺 游 兵 队 
trp_gekokujo_ryuzoji_master_archer|佐 贺 精 锐 持 弓 众 
trp_gekokujo_ryuzoji_master_archer_pl|佐 贺 精 锐 持 弓 众 
trp_gekokujo_ryuzoji_hatamoto_guard|佐 贺 旗 本 
trp_gekokujo_ryuzoji_hatamoto_guard_pl|佐 贺 旗 本 
trp_gekokujo_ryuzoji_hatamoto_archer|佐 贺 振 远 队 
trp_gekokujo_ryuzoji_hatamoto_archer_pl|佐 贺 振 远 队 
trp_gekokujo_ryuzoji_messenger|佐 贺 信 使
trp_gekokujo_ryuzoji_messenger_pl|佐 贺 信 使
trp_gekokujo_ryuzoji_deserter|佐 贺 逃 兵
trp_gekokujo_ryuzoji_deserter_pl|佐 贺 逃 兵
trp_gekokujo_ryuzoji_prison_guard|佐 贺 监 狱 守 卫
trp_gekokujo_ryuzoji_prison_guard_pl|佐 贺 监 狱 守 卫
trp_gekokujo_ryuzoji_castle_guard|佐 贺 城 堡 卫 队
trp_gekokujo_ryuzoji_castle_guard_pl|佐 贺 城 堡 卫 队
trp_gekokujo_satake_jizamurai|水 户 藩 士 
trp_gekokujo_satake_jizamurai_pl|水 户 藩 士 
trp_gekokujo_satake_retainer|水 户 徒 士 番 
trp_gekokujo_satake_retainer_pl|水 户 徒 士 番 
trp_gekokujo_satake_marksman|水 户 持 弓 众 
trp_gekokujo_satake_marksman_pl|水 户 持 弓 众 
trp_gekokujo_satake_veteran_retainer|水 户 诸 生 党 
trp_gekokujo_satake_veteran_retainer_pl|水 户 诸 生 党 
trp_gekokujo_satake_mounted_retainer|水 户 天 狗 党  
trp_gekokujo_satake_mounted_retainer_pl|水 户 天 狗 党  
trp_gekokujo_satake_samurai_gunner|水 户 铁 炮 众  
trp_gekokujo_satake_samurai_gunner_pl|水 户 铁 炮 众  
trp_gekokujo_satake_samurai_archer|水 户 资 深 持 弓 众 
trp_gekokujo_satake_samurai_archer_pl|水 户 资 深 持 弓 众 
trp_gekokujo_satake_officer|水 户 神 衛 隊
trp_gekokujo_satake_officer_pl|水 户 神 衛 隊  
trp_gekokujo_satake_mounted_officer|水 户 天 勇 队 
trp_gekokujo_satake_mounted_officer_pl|水 户 天 勇 队 
trp_gekokujo_zunwangjianke|水 户 尊 王 激 进 剑 客 
trp_gekokujo_zunwangjianke_pl|水 户 尊 王 激 进 剑 客 
trp_gekokujo_satake_master_gunner|水 户 精 锐 铁 炮 众  
trp_gekokujo_satake_master_gunner_pl|水 户 精 锐 铁 炮 众  
trp_gekokujo_satake_master_archer|水 户 精 锐 持 弓 众 
trp_gekokujo_satake_master_archer_pl|水 户 精 锐 持 弓 众 
trp_gekokujo_satake_hatamoto_gunner|水 户 旗 本 铁 炮 众  
trp_gekokujo_satake_hatamoto_gunner_pl|水 户 旗 本 铁 炮 众  
trp_gekokujo_satake_hatamoto_archer|水 户 神 射 手 
trp_gekokujo_satake_hatamoto_archer_pl|水 户 神 射 手 
trp_gekokujo_satake_messenger|水 户 信 使
trp_gekokujo_satake_messenger_pl|水 户 信 使
trp_gekokujo_satake_deserter|水 户 逃 兵
trp_gekokujo_satake_deserter_pl|水 户 逃 兵 
trp_gekokujo_satake_prison_guard|水 户 监 狱 守 卫
trp_gekokujo_satake_prison_guard_pl|水 户 监 狱 守 卫
trp_gekokujo_satake_castle_guard|水 户 城 堡 卫 队
trp_gekokujo_satake_castle_guard_pl|水 户 城 堡 卫 队
trp_gekokujo_satomi_jizamurai|长 冈 藩 藩 士 
trp_gekokujo_satomi_jizamurai_pl|长 冈 藩 藩 士 
trp_gekokujo_satomi_retainer|长 冈 越 后 流 衝 擊 队
trp_gekokujo_satomi_retainer_pl|长 冈 越 后 流 衝 擊 队
trp_gekokujo_satomi_marksman|长 冈 藩 铳 藩 士 
trp_gekokujo_satomi_marksman_pl|长 冈 藩 铳 藩 士 
trp_gekokujo_satomi_veteran_retainer|长 冈 小 姓 番 
trp_gekokujo_satomi_veteran_retainer_pl|长 冈 小 姓 番 
trp_gekokujo_satomi_mounted_retainer|长 冈 马 回 众  
trp_gekokujo_satomi_mounted_retainer_pl|长 冈 马 回 众  
trp_gekokujo_satomi_samurai_gunner|长 冈 新 军 
trp_gekokujo_satomi_samurai_gunner_pl|长 冈 新 军 
trp_gekokujo_satomi_samurai_archer|长 冈 御 持 筒 组 
trp_gekokujo_satomi_samurai_archer_pl|长 冈 御 持 筒 组 
trp_gekokujo_satomi_officer|长 冈 书 院番  
trp_gekokujo_satomi_officer_pl|长 冈 书 院番  
trp_gekokujo_satomi_mounted_officer|长 冈 骑 马 书 院番  
trp_gekokujo_satomi_mounted_officer_pl|长 冈 骑 马 书 院番  
trp_gekokujo_satomi_master_gunner|长 冈 藩 步 枪 队 
trp_gekokujo_satomi_master_gunner_pl|长 冈 藩 步 枪 队 
trp_gekokujo_satomi_master_archer|长 冈 藩 法 式 卫 队 
trp_gekokujo_satomi_master_archer_pl|长 冈 藩 法 式 卫 队 
trp_gekokujo_satomi_hatamoto_guard|长 冈 旗 本 
trp_gekokujo_satomi_hatamoto_guard_pl|长 冈 旗 本 
trp_gekokujo_satomi_hatamoto_cavalry|长 冈 母 衣 众 
trp_gekokujo_satomi_hatamoto_cavalry_pl|长 冈 母 衣 众 
trp_gekokujo_satomi_messenger|长 冈 信 使
trp_gekokujo_satomi_messenger_pl|长 冈 信 使
trp_gekokujo_satomi_deserter|长 冈 逃 兵
trp_gekokujo_satomi_deserter_pl|长 冈 逃 兵
trp_gekokujo_satomi_prison_guard|长 冈 监 狱 守 卫
trp_gekokujo_satomi_prison_guard_pl|长 冈 监 狱 守 卫
trp_gekokujo_satomi_castle_guard|长 冈 城 堡 卫 队
trp_gekokujo_satomi_castle_guard_pl|长 冈 城 堡 卫 队
trp_gekokujo_ukita_jizamurai|冈 山 藩 士 
trp_gekokujo_ukita_jizamurai_pl|冈 山 藩 士 
trp_gekokujo_ukita_retainer|冈 山 徒 士 番 
trp_gekokujo_ukita_retainer_pl|冈 山 徒 士 番 
trp_gekokujo_ukita_marksman|冈 山 持 弓 众 
trp_gekokujo_ukita_marksman_pl|冈 山 持 弓 众 
trp_gekokujo_ukita_veteran_retainer|冈 山 小 姓 番 
trp_gekokujo_ukita_veteran_retainer_pl|冈 山 小 姓 番 
trp_gekokujo_ukita_mounted_retainer|冈 山 马 回 众  
trp_gekokujo_ukita_mounted_retainer_pl|冈 山 马 回 众  
trp_gekokujo_ukita_samurai_gunner|冈 山 铁 炮 众  
trp_gekokujo_ukita_samurai_gunner_pl|冈 山 铁 炮 众  
trp_gekokujo_ukita_samurai_archer|冈 山 资 深 持 弓 众 
trp_gekokujo_ukita_samurai_archer_pl|冈 山 资 深 持 弓 众 
trp_gekokujo_ukita_officer|冈 山 壯 軍 队 
trp_gekokujo_ukita_officer_pl|冈 山 壯 軍 队 
trp_gekokujo_ukita_mounted_officer|冈 山 骑 马 队 
trp_gekokujo_ukita_mounted_officer_pl|冈 山 骑 马 队 
trp_gekokujo_ukita_master_gunner|冈 山 西 式 常 备 军 
trp_gekokujo_ukita_master_gunner_pl|冈 山 西 式 常 备 军 
trp_gekokujo_ukita_master_archer|冈 山 精 锐 持 弓 众 
trp_gekokujo_ukita_master_archer_pl|冈 山 精 锐 持 弓 众 
trp_gekokujo_ukita_hatamoto_guard|冈 山 新 武 隊
trp_gekokujo_ukita_hatamoto_guard_pl|冈 山 新 武 隊
trp_gekokujo_ukita_hatamoto_gunner|備 州 精 锐 隊
trp_gekokujo_ukita_hatamoto_gunner_pl|備 州 精 锐 隊
trp_gekokujo_ukita_messenger|冈 山 信 使 
trp_gekokujo_ukita_messenger_pl|冈 山 信 使 
trp_gekokujo_ukita_deserter|冈 山 逃 兵
trp_gekokujo_ukita_deserter_pl|冈 山 逃 兵
trp_gekokujo_ukita_prison_guard|冈 山 监 狱 守 卫
trp_gekokujo_ukita_prison_guard_pl|冈 山 监 狱 守 卫
trp_gekokujo_ukita_castle_guard|冈 山 城 堡 卫 队
trp_gekokujo_ukita_castle_guard_pl|冈 山 城 堡 卫 队
trp_gekokujo_ikko_jizamurai|加 贺 藩 士 
trp_gekokujo_ikko_jizamurai_pl|加 贺 藩 士 
trp_gekokujo_ikko_retainer|加 贺 徒 士 番 
trp_gekokujo_ikko_retainer_pl|加 贺 徒 士 番 
trp_gekokujo_ikko_marksman|加 贺 持 弓 众 
trp_gekokujo_ikko_marksman_pl|加 贺 持 弓 众 
trp_gekokujo_ikko_veteran_retainer|加 贺 资 深 义 勇 军 
trp_gekokujo_ikko_veteran_retainer_pl|加 贺 资 深 义 勇 军 
trp_gekokujo_ikko_mounted_retainer|加 贺 义 勇 骑 马 队 
trp_gekokujo_ikko_mounted_retainer_pl|加 贺 义 勇 骑 马 队 
trp_gekokujo_ikko_samurai_gunner|加 贺 铁 炮 众  
trp_gekokujo_ikko_samurai_gunner_pl|加 贺 铁 炮 众  
trp_gekokujo_ikko_samurai_archer|加 贺 资 深 持 弓 众 
trp_gekokujo_ikko_samurai_archer_pl|加 贺 资 深 持 弓 众 
trp_gekokujo_ikko_officer|加 贺 书 院番  
trp_gekokujo_ikko_officer_pl|加 贺 书 院番  
trp_gekokujo_ikko_mounted_officer|加 贺 骑 马 书 院番   
trp_gekokujo_ikko_mounted_officer_pl|加 贺 骑 马 书 院番  
trp_gekokujo_ikko_master_gunner|加 贺 精 锐 铁 炮 众  
trp_gekokujo_ikko_master_gunner_pl|加 贺 精 锐 铁 炮 众  
trp_gekokujo_ikko_master_archer|加 贺 精 锐 持 弓 众 
trp_gekokujo_ikko_master_archer_pl|加 贺 精 锐 持 弓 众 
trp_gekokujo_ikko_monk|加 贺 僧 兵 
trp_gekokujo_ikko_monk_pl|加 贺 僧 兵 
trp_gekokujo_ikko_marksman_monk|加 贺 僧 兵 射 手 
trp_gekokujo_ikko_marksman_monk_pl|加 贺 僧 兵 射 手 
trp_gekokujo_ikko_arquebus_monk|加 贺 铁 炮 僧 兵 
trp_gekokujo_ikko_arquebus_monk_pl|加 贺 铁 炮 僧 兵 
trp_gekokujo_ikko_veteran_arquebus_monk|加 贺 资 深 铁 炮 僧 兵 
trp_gekokujo_ikko_veteran_arquebus_monk_pl|加 贺 资 深 铁 炮 僧 兵 
trp_gekokujo_ikko_yumi_monk|加 贺 熟 练 僧 兵 射 手 
trp_gekokujo_ikko_yumi_monk_pl|加 贺 熟 练 僧 兵 射 手 
trp_gekokujo_ikko_veteran_yumi_monk|加 贺 资 深 僧 兵 射 手 
trp_gekokujo_ikko_veteran_yumi_monk_pl|加 贺 资 深 僧 兵 射 手 
trp_gekokujo_ikko_yari_monk|加 贺 熟 练 僧 兵 
trp_gekokujo_ikko_yari_monk_pl|加 贺 熟 练 僧 兵 
trp_gekokujo_ikko_veteran_yari_monk|加 贺 资 深 僧 兵 
trp_gekokujo_ikko_veteran_yari_monk_pl|加 贺 资 深 僧 兵 
trp_gekokujo_ikko_naginata_monk|加 贺 剃 刀 僧 兵 
trp_gekokujo_ikko_naginata_monk_pl|加 贺 剃 刀 僧 兵 
trp_gekokujo_ikko_veteran_naginata_monk|加 贺 资 深 剃 刀 僧 兵
trp_gekokujo_ikko_veteran_naginata_monk_pl|加 贺 资 深 剃 刀 僧 兵
trp_gekokujo_ikko_elite_naginata_monk|加 贺 精 锐 剃 刀 僧 兵
trp_gekokujo_ikko_elite_naginata_monk_pl|加 贺 精 锐 剃 刀 僧 兵
trp_gekokujo_ikko_messenger|加 贺 信 使 
trp_gekokujo_ikko_messenger_pl|加 贺 信 使 
trp_gekokujo_ikko_deserter|加 贺 逃 兵
trp_gekokujo_ikko_deserter_pl|加 贺 逃 兵
trp_gekokujo_ikko_prison_guard|僧 兵 监 狱 守 卫
trp_gekokujo_ikko_prison_guard_pl|僧 兵 监 狱 守 卫
trp_gekokujo_ikko_castle_guard|僧 兵 城 堡 卫 队
trp_gekokujo_ikko_castle_guard_pl|僧 兵 城 堡 卫 队
trp_looter|劫 匪 
trp_looter_pl|劫 匪 
trp_bandit|土 匪 
trp_bandit_pl|强 盗 
trp_brigand|强 盗 
trp_brigand_pl|强 盗 
trp_woku_pirate|倭 寇 海 盗 
trp_woku_pirate_pl|倭 寇 海 盗 
trp_shinano_rebel|信 浓 叛 军 
trp_shinano_rebel_pl|信 浓 叛 军 
trp_kinai_rebel|畿 内 叛 军 
trp_kinai_rebel_pl|畿 内 叛 军 
trp_seto_pirate|濑 户 海 盗
trp_seto_pirate_pl|濑 户 海 盗 
trp_kanto_rebel|关 东 叛 军 
trp_kanto_rebel_pl|关 东 叛 军 
trp_northern_raider|虾 夷 勇 士 
trp_northern_raider_pl|虾 夷 勇 士 
trp_monk_rebel|加 贺 僧 兵  
trp_monk_rebel_pl|加 贺 僧 兵  
trp_generic_ashigaru|足 轻 
trp_generic_ashigaru_pl|足 轻 
trp_generic_jizamurai|藩 士 
trp_generic_jizamurai_pl|藩 士 
trp_northern_warlord|虾 夷 首 领 
trp_northern_warlord_pl|虾 夷 首 领 
trp_ronin|浪 人 
trp_ronin_pl|浪 人 
trp_ronin_wanderer|浪 客 
trp_ronin_wanderer_pl|浪 客 
trp_ronin_adventurer|浪 人 旅 者 
trp_ronin_adventurer_pl|浪 人 旅 者 
trp_ronin_protector|浪 人 保 镖 
trp_ronin_protector_pl|浪 人 保 镖 
trp_ronin_hero|浪 人 英 雄 
trp_ronin_hero_pl|浪 人 英 雄 
trp_onnabushi|女 徒 士 番 
trp_onnabushi_pl|女 徒 士 番 
trp_onnabushi_trained|熟 练 女 徒 士 番 
trp_onnabushi_trained_pl|熟 练 女 徒 士 番 
trp_onnabushi_veteran|资 深 女 徒 士 番 
trp_onnabushi_veteran_pl|资 深 女 徒 士 番 
trp_onnabushi_elite|精 锐 女 徒 士 番 
trp_onnabushi_elite_pl|精 锐 女 徒 士 番 
trp_female_agent|忍 者 
trp_female_agent_pl|忍 者 
trp_female_agent_experienced|女 忍 者 
trp_female_agent_experienced_pl|女 忍 者 
trp_refugee|难 民 
trp_refugee_pl|难 民 
trp_peasant_woman|农 妇 
trp_peasant_woman_pl|农 妇 
trp_caravan_master|商 队 头 领 
trp_caravan_master_pl|商 队 头 领 
trp_kidnapped_girl|被 绑 架 的 女 孩 
trp_kidnapped_girl_pl|被 绑 架 的 女 孩 
trp_town_walker_1|市 民 
trp_town_walker_1_pl|市 民 
trp_town_walker_2|市 民 
trp_town_walker_2_pl|市 民 
trp_village_walker_1|村 民 
trp_village_walker_1_pl|村 民 
trp_village_walker_2|村 民 
trp_village_walker_2_pl|村 民 
trp_ainu_walker_1|村 民 
trp_ainu_walker_1_pl|村 民 
trp_ainu_walker_2|村 民 
trp_ainu_walker_2_pl|村 民 
trp_spy_walker_1|市 民 
trp_spy_walker_1_pl|市 民 
trp_spy_walker_2|市 民 
trp_spy_walker_2_pl|市 民 
trp_tournament_master|竞 技 场 老 板 
trp_tournament_master_pl|竞 技 场 老 板 
trp_trainer|教 练 
trp_trainer_pl|教 练 
trp_constable_hareck|治 安 官 哈 瑞 克 
trp_constable_hareck_pl|治 安 官 哈 瑞 克 
trp_ramun_the_slave_trader|落 人 狩 拉 蒙 
trp_ramun_the_slave_trader_pl|落 人 狩 拉 蒙 
trp_guide|机 灵 鬼 吉 米 
trp_guide_pl|机 灵 鬼 吉 米 
trp_kaihime|甲 斐 姬 
trp_kaihime_pl|甲 斐 姬 
trp_sen|森 
trp_sen_pl|森 
trp_tsuruhime|藤 姬 
trp_tsuruhime_pl|藤 姬 
trp_naotora|直 虎 
trp_naotora_pl|直 虎 
trp_keiji|庆 次 
trp_keiji_pl|庆 次 
trp_yukimura|幸 村 
trp_yukimura_pl|幸 村 
trp_ranmaru|白 
trp_ranmaru_pl|白 
trp_kambei|勘 兵 卫 
trp_kambei_pl|勘 兵 卫 
trp_katsushiro|勝 太 郎 
trp_katsushiro_pl|勝 太 郎 
trp_gorobei|五 郎 兵 卫
trp_gorobei_pl|五 郎 兵 卫
trp_shichiroji|七 路 地 
trp_shichiroji_pl|七 路 地 
trp_heihachi|平 八 
trp_heihachi_pl|平 八 
trp_kyuzo|九 条 
trp_kyuzo_pl|九 条 
trp_kikuchiyo|菊 千 代 
trp_kikuchiyo_pl|菊 千 代 
trp_sanjuro|三 十 郎 
trp_sanjuro_pl|三 十 郎 
trp_daizen|大 前 
trp_daizen_pl|大 前 
trp_tutorial_trainer|训 练 场 教 练 
trp_tutorial_trainer_pl|训 练 场 教 练 
trp_galeas|盖 里 阿 斯 
trp_galeas_pl|盖 里 阿 斯 
trp_farmer_from_bandit_village|农 民 
trp_farmer_from_bandit_village_pl|农 民 
trp_trainer_1|教 练 
trp_trainer_1_pl|教 练 
trp_trainer_2|教 练 
trp_trainer_2_pl|教 练 
trp_trainer_3|教 练 
trp_trainer_3_pl|教 练 
trp_trainer_4|教 练 
trp_trainer_4_pl|教 练 
trp_trainer_5|教 练 
trp_trainer_5_pl|教 练 
trp_ransom_broker_1|落 人 狩 
trp_ransom_broker_1_pl|落 人 狩 
trp_ransom_broker_2|落 人 狩 
trp_ransom_broker_2_pl|落 人 狩 
trp_ransom_broker_3|落 人 狩 
trp_ransom_broker_3_pl|落 人 狩 
trp_ransom_broker_4|落 人 狩 
trp_ransom_broker_4_pl|落 人 狩 
trp_ransom_broker_5|落 人 狩 
trp_ransom_broker_5_pl|落 人 狩 
trp_ransom_broker_6|落 人 狩 
trp_ransom_broker_6_pl|落 人 狩 
trp_ransom_broker_7|落 人 狩 
trp_ransom_broker_7_pl|落 人 狩 
trp_ransom_broker_8|落 人 狩 
trp_ransom_broker_8_pl|落 人 狩 
trp_ransom_broker_9|落 人 狩 
trp_ransom_broker_9_pl|落 人 狩 
trp_ransom_broker_10|落 人 狩 
trp_ransom_broker_10_pl|落 人 狩 
trp_ransom_broker_11|落 人 狩 
trp_ransom_broker_11_pl|落 人 狩 
trp_ransom_broker_12|落 人 狩 
trp_ransom_broker_12_pl|落 人 狩 
trp_ransom_broker_13|落 人 狩 
trp_ransom_broker_13_pl|落 人 狩 
trp_ransom_broker_14|落 人 狩 
trp_ransom_broker_14_pl|落 人 狩 
trp_ransom_broker_15|落 人 狩 
trp_ransom_broker_15_pl|落 人 狩 
trp_ransom_broker_16|落 人 狩 
trp_ransom_broker_16_pl|落 人 狩 
trp_ransom_broker_17|落 人 狩 
trp_ransom_broker_17_pl|落 人 狩 
trp_ransom_broker_18|落 人 狩 
trp_ransom_broker_18_pl|落 人 狩 
trp_ransom_broker_19|落 人 狩 
trp_ransom_broker_19_pl|落 人 狩 
trp_ransom_broker_20|落 人 狩 
trp_ransom_broker_20_pl|落 人 狩 
trp_tavern_traveler_1|旅 行 者 
trp_tavern_traveler_1_pl|旅 行 者 
trp_tavern_traveler_2|旅 行 者 
trp_tavern_traveler_2_pl|旅 行 者 
trp_tavern_traveler_3|旅 行 者 
trp_tavern_traveler_3_pl|旅 行 者 
trp_tavern_traveler_4|旅 行 者 
trp_tavern_traveler_4_pl|旅 行 者 
trp_tavern_traveler_5|旅 行 者 
trp_tavern_traveler_5_pl|旅 行 者 
trp_tavern_traveler_6|旅 行 者 
trp_tavern_traveler_6_pl|旅 行 者 
trp_tavern_traveler_7|旅 行 者 
trp_tavern_traveler_7_pl|旅 行 者 
trp_tavern_traveler_8|旅 行 者 
trp_tavern_traveler_8_pl|旅 行 者 
trp_tavern_traveler_9|旅 行 者 
trp_tavern_traveler_9_pl|旅 行 者 
trp_tavern_traveler_10|旅 行 者 
trp_tavern_traveler_10_pl|旅 行 者 
trp_tavern_traveler_11|旅 行 者 
trp_tavern_traveler_11_pl|旅 行 者 
trp_tavern_traveler_12|旅 行 者 
trp_tavern_traveler_12_pl|旅 行 者 
trp_tavern_traveler_13|旅 行 者 
trp_tavern_traveler_13_pl|旅 行 者 
trp_tavern_traveler_14|旅 行 者 
trp_tavern_traveler_14_pl|旅 行 者 
trp_tavern_traveler_15|旅 行 者 
trp_tavern_traveler_15_pl|旅 行 者 
trp_tavern_traveler_16|旅 行 者 
trp_tavern_traveler_16_pl|旅 行 者 
trp_tavern_traveler_17|旅 行 者 
trp_tavern_traveler_17_pl|旅 行 者 
trp_tavern_traveler_18|旅 行 者 
trp_tavern_traveler_18_pl|旅 行 者 
